m/z,Intensity,Time
5517.078937297887, 2181.5735078569724, 41.85954054617762
5517.502875327069, 2251.0625489995564, 41.86114054617762
5517.926829662834, 2322.3684084943925, 41.862740546177626
5518.350800305185, 2394.2486280124062, 41.86434054617763
5518.774787254118, 2473.4421379145783, 41.86594054617763
5519.198790509635, 2554.9518355660084, 41.867540546177636
5519.622810071735, 2635.474724750314, 41.86914054617764
5520.046845940421, 2712.205474315709, 41.87074054617764
5520.47089811569, 2786.795582370384, 41.87234054617765
5520.894966597543, 2853.9190101237336, 41.87394054617765
5521.31905138598, 2913.248525752462, 41.87554054617765
5521.743152481, 2954.9177489177478, 41.87714054617766
5522.167269882605, 2983.3511265637244, 41.87874054617766
5522.591403590793, 2993.824249241572, 41.88034054617766
5523.015553605565, 2989.8446330572297, 41.88194054617767
5523.4397199269215, 2968.3274363431833, 41.88354054617767
5523.863902554861, 2934.775948460987, 41.885140546177674
5524.2881014893865, 2885.951937825953, 41.88674054617768
5524.712316730493, 2828.498892183931, 41.88834054617768
5525.136548278185, 2755.239867743804, 41.889940546177684
5525.5607961324595, 2674.924907113883, 41.89154054617769
5525.98506029332, 2591.6427037529393, 41.89314054617769
5526.4093407607625, 2508.7593141766365, 41.894740546177694
5526.83363753479, 2433.2284146299885, 41.8963405461777
5527.257950615401, 2363.672904523298, 41.8979405461777
5527.682280002597, 2296.793196305007, 41.899540546177704
5528.106625696374, 2243.551556055493, 41.90114054617771
5528.530987696737, 2198.1157582574906, 41.90274054617771
5528.9553660036845, 2163.8961720693997, 41.904340546177714
5529.379760617215, 2140.1462998943307, 41.90594054617772
5529.804171537328, 2121.059481201213, 41.90754054617772
5530.228598764026, 2111.501585029144, 41.909140546177724
5530.653042297309, 2100.12516617241, 41.91074054617773
5531.077502137174, 2089.239595050618, 41.91234054617773
5531.501978283623, 2081.5735078569724, 41.913940546177734
5531.926470736658, 2078.1375737123767, 41.91554054617774
5532.350979496276, 2077.7319425980845, 41.91714054617774
5532.775504562476, 2083.720966697345, 41.918740546177744
5533.200045935261, 2089.1219961141223, 41.92034054617775
5533.624603614631, 2097.1374714524322, 41.92194054617775
5534.049177600585, 2105.427344309234, 41.923540546177755
5534.473767893121, 2115.9754576132523, 41.92514054617776
5534.898374492241, 2128.751133381054, 41.92674054617776
5535.322997397947, 2142.401131676722, 41.928340546177765
5535.7476366102355, 2154.1218256808797, 41.92994054617777
5536.172292129107, 2167.909874902, 41.93154054617777
5536.596963954564, 2182.1188942291296, 41.933140546177775
5537.021652086604, 2200.5989705832217, 41.93474054617778
5537.446356525228, 2225.2419129427, 41.93634054617778
5537.871077270435, 2254.092852029859, 41.937940546177785
5538.295814322228, 2284.4759859563005, 41.93954054617779
5538.720567680603, 2315.5425571803517, 41.94114054617779
5539.145337345563, 2346.8937519173733, 41.942740546177795
5539.570123317106, 2384.4555339673448, 41.9443405461778
5539.994925595233, 2430.2066332617514, 41.9459405461778
5540.419744179945, 2488.240856256604, 41.947540546177805
5540.844579071239, 2561.9293724648046, 41.94914054617781
5541.269430269119, 2649.968367590414, 41.95074054617781
5541.694297773582, 2752.6492824760526, 41.952340546177815
5542.119181584629, 2882.2296758359735, 41.95394054617782
5542.544081702258, 3044.9746736203415, 41.95554054617782
5542.968998126474, 3257.2867709718093, 41.957140546177826
5543.393930857272, 3527.9194191635124, 41.95874054617783
5543.818879894654, 3856.4431264273776, 41.96034054617783
5544.2438452386195, 4240.376384770085, 41.961940546177836
5544.668826889169, 4671.337287384532, 41.96354054617784
5545.0938248463035, 5132.093329242936, 41.96514054617784
5545.518839110021, 5598.949176807445, 41.966740546177846
5545.943869680323, 6047.676040494938, 41.96834054617785
5546.368916557209, 6458.5905852677515, 41.96994054617785
5546.793979740677, 6802.003340491531, 41.971540546177856
5547.219059230731, 7053.532126665985, 41.97314054617786
5547.644155027368, 7197.854995398302, 41.97474054617786
5548.069267130589, 7233.576098442241, 41.976340546177866
5548.494395540393, 7165.496540205202, 41.97794054617787
5548.919540256783, 7002.654395473294, 41.97954054617787
5549.344701279755, 6766.646964583973, 41.981140546177876
5549.7698786093115, 6481.74223676586, 41.98274054617788
5550.195072245451, 6169.462521730238, 41.98434054617788
5550.620282188177, 5853.320789446773, 41.985940546177886
5551.0455084374835, 5551.352285509766, 41.98754054617789
5551.470750993376, 5275.734465010055, 41.98914054617789
5551.896009855853, 5040.405358421105, 41.990740546177896
5552.321285024912, 4846.621058731294, 41.9923405461779
5552.7465765005545, 4686.572314824283, 41.9939405461779
5553.171884282782, 4563.127518151141, 41.99554054617791
5553.597208371595, 4471.306609401098, 41.99714054617791
5554.022548766989, 4403.573030643898, 41.99874054617791
5554.447905468968, 4351.318198861507, 42.00034054617792
5554.873278477531, 4306.197702559908, 42.00194054617792
5555.298667792679, 4259.931894876778, 42.00354054617792
5555.724073414409, 4206.3527968094895, 42.00514054617793
5556.149495342723, 4144.649146129462, 42.00674054617793
5556.574933577623, 4080.0719910011244, 42.008340546177934
5557.000388119105, 4018.7790844326273, 42.00994054617794
5557.42585896717, 3962.418515867334, 42.01154054617794
5557.85134612182, 3907.33278794696, 42.013140546177944
5558.276849583055, 3854.7285680199057, 42.01474054617795
5558.702369350874, 3801.3420595152875, 42.01634054617795
5559.127905425274, 3748.903159832293, 42.017940546177954
5559.55345780626, 3703.801411187237, 42.01954054617796
5559.97902649383, 3661.2595698264986, 42.02114054617796
5560.404611487984, 3626.9036370453687, 42.022740546177964
5560.83021278872, 3593.6572246650985, 42.02434054617797
5561.255830396042, 3556.458465419094, 42.02594054617797
5561.681464309947, 3515.4368885707454, 42.027540546177974
5562.107114530436, 3468.874527047754, 42.02914054617798
5562.532781057507, 3414.5182534001424, 42.03074054617798
5562.958463891166, 3360.282987353852, 42.032340546177984
5563.3841630314055, 3305.1120428128293, 42.03394054617799
5563.80987847823, 3254.2837372601143, 42.03554054617799
5564.235610231638, 3208.0690595493734, 42.037140546177994
5564.661358291631, 3165.343150288031, 42.038740546178
5565.087122658207, 3128.437536217063, 42.040340546178
5565.512903331365, 3092.3943143470697, 42.041940546178004
5565.938700311111, 3054.70811603095, 42.04354054617801
5566.3645135974375, 3018.453556941745, 42.04514054617801
5566.790343190349, 2978.498892183931, 42.046740546178015
5567.216189089843, 2935.094658622217, 42.04834054617802
5567.642051295924, 2891.804615332173, 42.04994054617802
5568.067929808587, 2846.902273579438, 42.051540546178025
5568.493824627834, 2802.4532842485587, 42.05314054617803
5568.919735753665, 2758.558202951903, 42.05474054617803
5569.34566318608, 2717.067934689981, 42.056340546178035
5569.771606925078, 2675.448137164672, 42.05794054617804
5570.197566970661, 2634.5867675631457, 42.05954054617804
5570.623543322828, 2597.972594334799, 42.061140546178045
5571.049535981578, 2565.706173092, 42.06274054617805
5571.475544946912, 2536.659235777346, 42.06434054617805
5571.901570218831, 2509.190510277124, 42.065940546178055
5572.327611797332, 2483.178988990011, 42.06754054617806
5572.753669682417, 2456.6237856631546, 42.06914054617806
5573.179743874087, 2424.0539932508427, 42.070740546178065
5573.605834372342, 2392.948222381292, 42.07234054617807
5574.031941177178, 2366.15100385179, 42.07394054617807
5574.458064288599, 2341.1501516855833, 42.075540546178075
5574.884203706604, 2321.1089068411898, 42.07714054617808
